ENC	GENERO	AMBITO	REGION	EDAD	NIVEL	DISTRITO	PA	PB	P20	PESO2	REGION2
2987841	Masculino	Urbano	Sierra Sur	De 18 a 25	E	SAN JERONIMO	Apurímac	0	0	0,861575700000000	Sur
2987842	Femenino	Urbano	Sierra Sur	De 26 a 42	D	SAN JERONIMO	Apurímac	0	0	1,128476000000000	Sur
2987843	Femenino	Urbano	Sierra Sur	De 26 a 42	D	SAN JERONIMO	Apurímac	0	0	1,128476000000000	Sur
2987844	Masculino	Urbano	Sierra Sur	De 43 a más	E	SAN JERONIMO	Apurímac	0	0	0,861575700000000	Sur
2987845	Masculino	Urbano	Sierra Sur	De 18 a 25	C	SAN JERONIMO	Apurímac	0	0	1,432073600000000	Sur
2987846	Masculino	Urbano	Sierra Sur	De 43 a más	E	SAN JERONIMO	Apurímac	0	0	0,861575700000000	Sur
2987848	Masculino	Urbano	Costa Norte	De 43 a más	E	NUEVO CHIMBOTE	Áncash	0	0	0,921439700000000	Norte
2987849	Masculino	Urbano	Costa Norte	De 26 a 42	B	NUEVO CHIMBOTE	Áncash	0	0	0,687797400000000	Norte
2987850	Masculino	Urbano	Costa Norte	De 26 a 42	B	NUEVO CHIMBOTE	Áncash	0	0	0,687797400000000	Norte
2987851	Masculino	Urbano	Costa Centro	De 26 a 42	B	ICA	Ica	0	0	1,133942000000000	Centro
2987852	Masculino	Urbano	Lima	De 26 a 42	C	SAN MIGUEL	Lima y Callao	Lima	Rafael López Aliaga por Renovación Popular	0,844042600000000	Lima
2987854	Femenino	Urbano	Lima	De 26 a 42	D	SAN JUAN DE LURIGANCHO	Lima y Callao	Lima	George Forsyth por Somos Perú	0,888577500000000	Lima
2987855	Femenino	Urbano	Lima	De 18 a 25	B	SAN JUAN DE LURIGANCHO	Lima y Callao	Lima	Rafael López Aliaga por Renovación Popular	0,722194300000000	Lima
2987856	Femenino	Urbano	Oriente	De 43 a más	C	TARAPOTO	San Martin	0	0	1,185484800000000	Oriente
2987857	Femenino	Urbano	Oriente	De 43 a más	C	TARAPOTO	San Martin	0	0	1,185484800000000	Oriente
2987863	Masculino	Urbano	Costa Sur	De 26 a 42	B	TACNA	Tacna	0	0	0,397898100000000	Sur
2987865	Femenino	Urbano	Costa Norte	De 43 a más	D	PIURA	Piura	0	0	1,593514800000000	Norte
2987875	Femenino	Urbano	Lima	De 26 a 42	C	COMAS	Lima y Callao	Lima	George Forsyth por Somos Perú	0,844042600000000	Lima
2987890	Femenino	Urbano	Sierra Sur	De 26 a 42	E	AYACUCHO	Ayacucho	0	0	0,861575700000000	Sur
2987891	Masculino	Urbano	Sierra Sur	De 26 a 42	C	AYACUCHO	Ayacucho	0	0	1,432073600000000	Sur
2987892	Femenino	Urbano	Sierra Sur	De 18 a 25	C	AYACUCHO	Ayacucho	0	0	1,432073600000000	Sur
2987893	Masculino	Urbano	Sierra Sur	De 26 a 42	E	AYACUCHO	Ayacucho	0	0	0,861575700000000	Sur
2987894	Femenino	Urbano	Sierra Sur	De 43 a más	E	AYACUCHO	Ayacucho	0	0	0,861575700000000	Sur
2987899	Masculino	Urbano	Sierra Sur	De 26 a 42	C	ANDAHUAYLAS	Apurímac	0	0	1,432073600000000	Sur
2987900	Masculino	Urbano	Lima	De 26 a 42	D	CALLAO	Lima y Callao	Callao	0	0,888577500000000	Lima
2987913	Masculino	Rural	Sierra Sur	De 26 a 42	D	YUNGUYO	Puno	0	0	0,371711000000000	Sur
2987919	Masculino	Urbano	Costa Sur	De 26 a 42	B	TACNA	Tacna	0	0	0,397898100000000	Sur
2987924	Masculino	Urbano	Lima	De 43 a más	C	CALLAO	Lima y Callao	Callao	0	0,844042600000000	Lima
2987931	Masculino	Urbano	Costa Norte	De 43 a más	E	PIURA	Piura	0	0	0,921439700000000	Norte
2987939	Masculino	Urbano	Sierra Sur	De 26 a 42	B	ANDAHUAYLAS	Apurímac	0	0	1,280949800000000	Sur
2987940	Femenino	Urbano	Lima	De 26 a 42	B	SAN MIGUEL	Lima y Callao	Lima	Daniel Urresti por Podemos	0,722194300000000	Lima
2987949	Femenino	Urbano	Costa Norte	De 18 a 25	D	PIURA	Piura	0	0	1,593514800000000	Norte
2987953	Femenino	Urbano	Sierra Sur	De 26 a 42	D	SAN JERONIMO	Apurímac	0	0	1,128476000000000	Sur
2987955	Femenino	Urbano	Sierra Sur	De 43 a más	D	SAN JERONIMO	Apurímac	0	0	1,128476000000000	Sur
2987956	Femenino	Urbano	Sierra Sur	De 43 a más	E	SAN JERONIMO	Apurímac	0	0	0,861575700000000	Sur
2987962	Femenino	Urbano	Oriente	De 26 a 42	C	CHANCHAMAYO	Junin	0	0	1,185484800000000	Oriente
2987963	Femenino	Urbano	Oriente	De 26 a 42	D	CHANCHAMAYO	Junin	0	0	1,605392500000000	Oriente
