NOMCCPP	LONGITUDX	LATITUDY
CAJARURO	-78,42918496	-5,738621747
CAJARURO	-78,42918496	-5,738621747
CAJARURO	-78,42918496	-5,738621747
CAJARURO	-78,42918496	-5,738621747
CAJARURO	-78,42918496	-5,738621747
CAJARURO	-78,42918496	-5,738621747
CAJARURO	-78,42918496	-5,738621747
CAJARURO	-78,42918496	-5,738621747
CAJARURO	-78,42918496	-5,738621747
JOSE OLAYA	-78,30322515	-5,727357746
JOSE OLAYA	-78,30322515	-5,727357746
JOSE OLAYA	-78,30322515	-5,727357746
JOSE OLAYA	-78,30322515	-5,727357746
JOSE OLAYA	-78,30322515	-5,727357746
JOSE OLAYA	-78,30322515	-5,727357746
JOSE OLAYA	-78,30322515	-5,727357746
JOSE OLAYA	-78,30322515	-5,727357746
JOSE OLAYA	-78,30322515	-5,727357746
JOSE OLAYA	-78,30322515	-5,727357746
LEIMEBAMBA	-77,80532835	-6,706045865
LEIMEBAMBA	-77,80532835	-6,706045865
LEIMEBAMBA	-77,80532835	-6,706045865
LEIMEBAMBA	-77,80532835	-6,706045865
LEIMEBAMBA	-77,80532835	-6,706045865
LEIMEBAMBA	-77,80532835	-6,706045865
LEIMEBAMBA	-77,80532835	-6,706045865
LEIMEBAMBA	-77,80532835	-6,706045865
LEIMEBAMBA	-77,80532835	-6,706045865
LEIMEBAMBA	-77,80532835	-6,706045865
PACHIS CUCUASA	-77,87841667	-3,352018333
PACHIS CUCUASA	-77,87841667	-3,352018333
PACHIS CUCUASA	-77,87841667	-3,352018333
PACHIS CUCUASA	-77,87841667	-3,352018333
PACHIS CUCUASA	-77,87841667	-3,352018333
PACHIS CUCUASA	-77,87841667	-3,352018333
PACHIS CUCUASA	-77,87841667	-3,352018333
PACHIS CUCUASA	-77,87841667	-3,352018333
PACHIS CUCUASA	-77,87841667	-3,352018333
PACHIS CUCUASA	-77,87841667	-3,352018333
CANDUNGOS	-77,84850667	-3,457873333
CANDUNGOS	-77,84850667	-3,457873333
CANDUNGOS	-77,84850667	-3,457873333
CANDUNGOS	-77,84850667	-3,457873333
CANDUNGOS	-77,84850667	-3,457873333
ISLA GRANDE	-77,74352167	-4,285763333
ISLA GRANDE	-77,74352167	-4,285763333
ISLA GRANDE	-77,74352167	-4,285763333
ISLA GRANDE	-77,74352167	-4,285763333
ISLA GRANDE	-77,74352167	-4,285763333
GEREZA	-77,69497167	-4,358918333
GEREZA	-77,69497167	-4,358918333
GEREZA	-77,69497167	-4,358918333
GEREZA	-77,69497167	-4,358918333
GEREZA	-77,69497167	-4,358918333
SAN JUAN	-77,67524833	-4,375731667
SAN JUAN	-77,67524833	-4,375731667
SAN JUAN	-77,67524833	-4,375731667
SAN JUAN	-77,67524833	-4,375731667
SAN JUAN	-77,67524833	-4,375731667
PAANTAN	-78,09822833	-4,935726666
PAANTAN	-78,09822833	-4,935726666
PAANTAN	-78,09822833	-4,935726666
PAANTAN	-78,09822833	-4,935726666
PAANTAN	-78,09822833	-4,935726666
PAANTAN	-78,09822833	-4,935726666
PAANTAN	-78,09822833	-4,935726666
PAANTAN	-78,09822833	-4,935726666
PAANTAN	-78,09822833	-4,935726666
PAANTAN	-78,09822833	-4,935726666
CUZUMATAC	-78,107005	-4,916448333
CUZUMATAC	-78,107005	-4,916448333
CUZUMATAC	-78,107005	-4,916448333
CUZUMATAC	-78,107005	-4,916448333
CUZUMATAC	-78,107005	-4,916448333
TUPAC AMARU II	-78,19373333	-4,869228333
TUPAC AMARU II	-78,19373333	-4,869228333
TUPAC AMARU II	-78,19373333	-4,869228333
TUPAC AMARU II	-78,19373333	-4,869228333
TUPAC AMARU II	-78,19373333	-4,869228333
TUPAC AMARU II	-78,19373333	-4,869228333
TUPAC AMARU II	-78,19373333	-4,869228333
TUPAC AMARU II	-78,19373333	-4,869228333
TUPAC AMARU II	-78,19373333	-4,869228333
TUPAC AMARU II	-78,19373333	-4,869228333
NUEVO HUANCABAMBA	-78,204995	-4,885083333
NUEVO HUANCABAMBA	-78,204995	-4,885083333
NUEVO HUANCABAMBA	-78,204995	-4,885083333
NUEVO HUANCABAMBA	-78,204995	-4,885083333
NUEVO HUANCABAMBA	-78,204995	-4,885083333
BICHANAK	-78,19726833	-4,939358333
BICHANAK	-78,19726833	-4,939358333
BICHANAK	-78,19726833	-4,939358333
BICHANAK	-78,19726833	-4,939358333
BICHANAK	-78,19726833	-4,939358333
BICHANAK	-78,19726833	-4,939358333
BICHANAK	-78,19726833	-4,939358333
BICHANAK	-78,19726833	-4,939358333
BICHANAK	-78,19726833	-4,939358333
BICHANAK	-78,19726833	-4,939358333
NUEVA ALIANZA	-78,20431833	-4,91019
NUEVA ALIANZA	-78,20431833	-4,91019
NUEVA ALIANZA	-78,20431833	-4,91019
NUEVA ALIANZA	-78,20431833	-4,91019
NUEVA ALIANZA	-78,20431833	-4,91019
YAMAYAKAT	-78,33817667	-5,053203333
YAMAYAKAT	-78,33817667	-5,053203333
YAMAYAKAT	-78,33817667	-5,053203333
YAMAYAKAT	-78,33817667	-5,053203333
YAMAYAKAT	-78,33817667	-5,053203333
YAMAYAKAT	-78,33817667	-5,053203333
YAMAYAKAT	-78,33817667	-5,053203333
YAMAYAKAT	-78,33817667	-5,053203333
YAMAYAKAT	-78,33817667	-5,053203333
YAMAYAKAT	-78,33817667	-5,053203333
KUSU CHAPI	-78,354575	-5,072935
KUSU CHAPI	-78,354575	-5,072935
KUSU CHAPI	-78,354575	-5,072935
KUSU CHAPI	-78,354575	-5,072935
KUSU CHAPI	-78,354575	-5,072935
